# These are DE genes for all 3 cells types with a 
# p value of less than 0.05.  
> aCTB	M
16868000	1.699304
16668564	3.847461
16810270	1.494719875
16778392	1.679016625
17045198	-1.817956375
16934671	1.184944625
17113320	-1.256800625
16856299	1.93269375
16780917	1.4098475
17025844	0.86033125
16730104	-1.101464375
17072920	2.0576255
16938935	-0.785871
16860888	-1.598806
17113362	-2.274235375
16832920	-0.85613025
16815509	0.965342375
17021235	1.185145875
16887589	1.56555075
16768821	1.076665625
16780509	-1.430386625
16949403	1.001669
16911212	-0.9595505
16785646	-2.09900375
17115934	1.94615625
16698312	-2.43864375
16716371	1.328532
16962754	-1.578112
16729336	0.934507875
17097072	-4.27896225
17085868	-1.431322375
16660953	-1.73338
16774762	-2.865241625
16922724	-0.876349375
16841791	1.335957375
16844684	1.21386375
16701106	-1.3129935
16894710	-1.046795375
16956532	-0.879727375
17006142	1.29623
16902787	2.305614625
16868847	1.38983225
16905216	2.28622375
16698136	-1.061625625
16886174	-2.615088125
17004045	1.323656625
17070013	0.944902375
16926105	-3.01780325
17085635	-1.3790385
17019040	-2.306626875
16809929	-0.843933875
17001578	1.6525115
16691177	-1.0753685
17014442	-2.081485625
16883715	1.725816
16863091	1.151273
16908685	1.211991625
16904278	-1.727074125
16873087	-1.15784225
16739942	0.9683575
17025191	-1.32487725
17102951	1.345806625
17107717	-1.092757875
16877667	0.995235875
16872966	-3.069734
17048576	-1.133650875
16736764	-3.72136025
16692088	0.854359125
16800242	-2.431051
16734313	1.2035035
16984287	1.874663
16843906	-1.06058025
17118058	2.609798125
17118066	2.609798125
17118104	2.609798125
17118127	2.609798125
16837587	1.17187425
16921627	1.5898775
16878541	-2.474137375
16843417	1.376763625
16679349	-3.530999375
16849298	2.75308175
16844312	-1.88064625
16844294	1.535596125
16834056	-1.533699
16965519	1.406142125
17096595	-1.37622075
17043982	2.32453225
16944724	-0.924252375
16746057	-2.128191125
16865510	1.975011625
16740725	2.435847375
16812738	1.900260125
17045806	1.1897015
16754134	-3.887634125
16884204	-1.290966375
16944410	1.73628425
16934308	1.236864875
16709739	1.619791625
16801299	1.296970125
17071188	1.741894
17056837	1.198928625
16906835	-1.669352875
16849321	-0.7143775
16860499	-1.02229825
16666616	1.887731625
16984304	-2.891881
17106031	1.538707
16929163	-1.202974875
16677407	-0.78795475
17039524	0.920288
16831306	-1.6246075
16768401	2.433334625
17020317	0.9912
16940693	1.07025075
16958144	-1.00332675
16679411	-1.52506275
17053379	1.49807575
17110040	2.8320615
16962536	1.045742125
17105401	-1.3978005
16963113	3.761196
16695741	1.780636875
16979515	-1.773227375
16802519	-1.01445975
16714880	1.159307875
17043588	-1.2200205
16961037	-0.860752
16985440	-1.203010375
16683624	1.0277815
16842659	0.82587925
17105515	1.42721625
16750429	0.827879875
16827574	-0.935418125
17005197	1.892232375
16904324	1.978055
17059597	1.61797975
16985132	-1.18769325
17005223	1.719113875
16919242	0.9578945
16960560	2.633492375
16811286	0.9693535
16901716	-1.233088875
16761631	-1.579890625
17095423	0.893443375
16977058	1.816362375
17080342	1.526275375
17044733	-0.9757825
16809827	1.75672
16818272	1.53754775
17033639	1.532896
16665932	1.52087425
16673251	-0.711325
16847095	-1.347915
17028345	2.396847
16880256	0.970417
17005138	-1.66892325
16778745	1.605994375
17011079	1.52938325
16949933	-0.96709425
16852789	-1.524634375
16734154	0.980872375
16939231	-0.970997
16691403	1.677008625
16894911	-1.87228775
16809687	-1.222599875
16666326	1.800421125
17075553	-1.43024475
16945664	0.929046625
17016516	-2.360811125
16731654	1.72424775
17061876	-1.281843375
16709453	-1.701430875
16888578	-1.793474625
16911835	1.237596
16854673	0.965009875
17032011	0.930681
17034481	0.930681
17036729	0.930681
17042007	0.930681
16711484	1.3219175
17012148	1.423586875
16860312	-1.000778875
16798020	1.500327625
16664118	-0.931627125
16748205	1.555069375
16985599	-1.965559875
16809326	0.931069875
16883978	-0.990494375
16794551	1.01323175
16661141	1.167675
17025666	1.160892125
16917114	1.17806325
16865470	2.62926325
16975226	1.38796525
17109901	-1.390496625
17059567	-1.483179
17063005	1.071234375
16799426	-1.097262375
17059840	-1.901682
16810974	-1.422072875
16761201	1.6774715
16961331	1.998267
16847698	-3.55896175
16889653	-1.028177375
16850477	-1.608604625
16840982	-1.484318125
16946603	1.254132375
16698023	-1.47184275
16707695	-2.145307125
16716327	0.886729375
16901912	-1.229891125
16924320	-3.086734875
16962921	1.36991725
16713230	-0.933788
17021437	-1.65289925
16719217	1.251011
17064235	-0.883316
16889694	-0.7417945
16951247	0.808904125
16814498	2.156588875
16756995	0.79627875
16739192	0.77878725
16700798	1.216544375
16672478	1.409514625
17084710	1.101716875
16880488	-1.216309375
16741442	-0.8748215
17050683	-1.406380125
16876978	-1.305074375
16938296	-1.151834875
16877332	-0.96521375
16864905	-2.733148125
16980836	3.597713125
17024198	-2.092050125
17094814	-1.77216525
16937893	-2.057188625
16942425	0.888694
